id,installment,emp_length,annual_inc,dti,acc_now_delinq,delinq_amnt,delinq_2yrs,inq_last_6mths,salary_verified,delinq_before,interest_rate,credit_length,fico_score,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_OWN,home_ownership_RENT,default
40353729,512.35,10.0,86000.0,15.45,0,0,0,0,0.0,1.0,26.549571183533462,28,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
57265638,221.44,10.0,96000.0,10.26,0,0,4,0,1.0,1.0,27.54944,0,667.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38638251,523.92,6.0,37000.0,21.08,0,0,0,0,1.0,1.0,27.43999999999999,19,662.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0
39997451,759.52,10.0,66600.0,36.31,0,0,0,0,1.0,0.0,51.90399999999999,0,687.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
72705605,309.77,10.0,90000.0,7.23,0,0,1,0,1.0,1.0,27.0851282051282,21,677.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
66502103,350.75,2.0,95000.0,17.41,0,0,1,1,1.0,1.0,27.545454545454547,0,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
48464417,409.06,1.0,80000.0,17.91,0,0,0,0,1.0,1.0,12.628374760994264,0,662.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
63967441,123.99,2.0,68000.0,10.34,0,0,0,1,1.0,0.0,11.590999999999985,0,682.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
66432135,272.15,9.0,70000.0,10.53,0,0,1,0,1.0,1.0,22.467499999999998,0,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
63304271,376.56,9.0,58000.0,25.8,0,0,1,0,0.0,1.0,47.67058823529411,28,727.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67899633,371.95,10.0,150000.0,9.22,0,0,2,1,1.0,1.0,19.555357142857133,25,667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
39927944,893.07,5.0,135000.0,3.74,0,0,0,1,1.0,1.0,28.60208,0,672.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
44976645,131.97,10.0,30000.0,34.87,0,0,0,0,0.0,1.0,18.773,0,687.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
45464802,650.22,2.0,45000.0,32.34,0,0,0,1,1.0,0.0,24.17994694960213,0,727.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
